sentence1,sentence2
Tina was waiting for the paycheck.,When she asked her boss she said she had none.
He falls down four steps and almost breaks his leg.,He decides not to run anymore.
Suddenly she got a notification on her social media.,She saw that some girls were posting mean comments about her.
Her hands were a bit full so she tried to balance everything.,Unfortunately she spilled the cup onto the floor.
Alice went to the pharmacy.,She walked around looking at the perfumes and cosmetics.
He purchased it and took it home.,"When his wife found it, she was not happy."
After dinner she went out and bought some chicken instead.,Her family found out and wasn't very happy with her.
She had never tried out before.,She decided to take tumbling classes.
Alex has a history test.,He has studied for two days.
He decided he would try to take up gardening.,It took him a week to set up the land and build the garden.
She is impressed by how far they skip.,Some of the rocks go halfway across the pond.
She died in childbirth.,The baby was fine.
The ball kept falling down.,Billy heard a thud!
Carl was carrying paperwork to his car.,A gust of wind came and blew one of the papers out of his hands.
But her hair broke.,Allie was horrified.
She had dropped her phone so many times that it rattled inside.,That was why she refused to get a smart phone.
Stuart stood watching the brawny men wield the heavy mallet.,Strike hard enough and you could make a bell ring.
My dog ran quickly to fetch it.,We enjoyed our beach day.
Sara needed new shoes.,She did not have enough money for the ones she wanted.
Brad threw up all over the place.,He woke up with a massive headache and learned to never drink again.
Hank ended up losing a lot of money from gambling.,Hank decided to stop gambling before he lost everything.
Heidi was squinting at the book.,She realized she couldn't see well.
Maddie's family went strawberry picking.,They collected four big cartons.
"At the end of the night, Tess was very bored.",She decided to leave her friends and go clubbing instead.
Alex bought a used RV.,He hadn't gotten the RV checked out before buying it.
This wasn't like me so I was very confused during it.,After a while longer I decided to take a break.
It was Dexter's first day at Kindergarten.,He was extremely nervous but excited at the same time.
After drinking he gets on the dance floor and dances.,After getting tired he decides to drive home.
Susan applied fertilizer to her tomato plants.,They recovered in less than a week.
Chad was driving his car in the rain.,The rain was pouring down hard.
The man didn't want to.,The man lost his friends.
They had to clean the bedroom extensively.,The delivery men had to wade through a cluttered hallway.
Pria bought some balls of wool to knit a sweater.,"But when she started knitting, her cat interrupted her."
"As she was walking, she watched a beautiful sunrise.","Suddenly, a large dog came out of the bushes and growled at her."
James went to a temp agency for help.,The temp agency was able to find him a job within a few days.
Her parents knew that she would be very nervous.,They waited till the day that school started to tell her about it.
Travis loved grilling.,He decided to grill some chicken.
Kaya wanted to learn Spanish.,Her neighbor was a Mexican who wanted to improve her English.
He decided to get home before it hit.,Bob got home safe because he had received advanced warning.
At first she was scared.,Then she went for it.
Kacie and her friends went shopping at the mall.,"One store in, Kacie saw that her debit card was gone."
Everyone wanted to see it and touch it.,Finally Lizzy let it go and it hopped away wildly.
She adopted a cat.,Carrie loved her cat.
The next night she slept on the loveseat.,But her feet had to sit high up on the arm all night.
He studied politics and law at college.,He was at the top of his class.
There was a modeling and acting agency in the city.,Omar registered in the city.
The steak didn't smell very good.,He asked his wife about the steak.
Stephen's in-laws were coming in town.,He bought some BBQ meats.
He put the bait on the hook.,He placed the hook in the pond.
Laura started having an allergic reaction while out to eat!,We weren't sure what exactly she ate.
Arthur died one morning.,Arthur's sister got all of his inheritance.
So she decided she was not going to finish it.,So she walked out with a half tattoo.
Stewart grew older and eventually had a son of his own.,There were no large trees in Stewart's back yard.
Tyler likes to paint in his spare time.,He decides he is going to enter a painting into an art show.
She planned a luncheon at his favorite restaurant.,She invited his family and some friends.
She had one puppy outside.,It did not survive.
So she declined the offer to meet up.,His parents praised Gina for being so smart.
Finally after taking his CSET test he passed it.,Since he passed his test he is now able to be a teacher.
She ended up becoming a waitress to earn a living.,"She loved her job so much, she stopped auditioning altogether."
"Moving in was a long and hard process, but they finally did it.",Brad and Julie were so happy in their new home.
John needed a birthday card for his mother.,He was poor so he was shopping at a discount shop.
"Her little sister came in and pressed a button, deleting it all.","After Mary stopped crying, she got back to work on her essay."
I then felt like exercising.,And I did tons of pushups and squats.
She had a sponge that she was wearing a hole in.,"Soon, the kitchen was sparkling clean."
I came home from school today with no internet or cable.,"My mother-in-law said because we're moving, it's easier to not pay."
The man fell down the stairs.,He knocked out a tooth in the fall.
Kayla liked going to the movies with her friends.,Her friends informed her that they couldn't make it this time.
Kim had an eating disorder.,And she was not sure where she got her bad habits.
All the kids in school wonder where she is.,The principal tells everyone Brenda had passed away.
His mother tried to describe Jewish wedding customs at the rehearsal.,He asked his mother to stop talking.
Though it was horrible news he wasn't discouraged.,Everyone was impressed by his never ending optimism.
He started walking back to his car when he heard a thud.,It was coming from his neighbor's trunk.
He decided to enlist shortly after high school.,He made it through bootcamp and was immediately promoted.
"At one point, I noticed that my leg had fallen asleep.","I hadn't moved in too long, so I stood up to walk it off."
Jerry worked as a waiter at a 3 star restaurant.,He served a table of drunk people their food.
The old ones took coins.,The new ones required a card and internet access.
I decided to wait it out until she returned to town.,"Immediately after she returned, we ended up going to the hospital."
Yas decided to bleach her black hair to white blonde.,"She didn't read the directions, though, and all of her hair fell out."
He loved to write stories about adventures in outer space.,His teacher was holding a writing contest.
"She began to yell at her tablet game, which got her a warning.",My daughter then began ignoring her mother.
I was shooting a bottle with a gun.,I kept missing.
The kitty had jumped up on his hind legs to look in the window.,We opened the door and he repaid us with pets and affection.
Heinrich took off his glasses and sat them down in his lap.,He heard the call for his next stop.
"That day, he postponed talking to the employee he had to fire.",At the end of the day his boss told him it was okay.
They decided to go on a whale watching boat.,While they were out at sea Steven started feeling sick.
"Because of her work, Ariel was asked to travel cross-country.",Ariel went to a psychologist to address her fear of flying.
"This was not always the case, though.",She used to have a puppy as a child that she took everywhere.
They wanted to collect blood from a hundred people.,The students all came out of class to donate.
When Jason got his first job he knew what he wanted to save money for.,"After Jason had saved enough, he bought tickets to see a Laker game."
Lacy took a cigarette out of the pack.,She lit up and smoked it.
Jane needed new sandals for her trip.,She knew she didn't need to spend extra money.
She stopped in a small restaurant one day on the trip.,She ordered a small soda and waited.
They put her in a bed.,Her feet hung over the edge.
"Despite his best efforts, however, the fire would not light.","On occasion a few embers would light, but soon would die."
They asked Chuck for a ride.,But Chuck said the car was too nice to actually drive it.
My neighbor's son was riding his bicycle along the same road.,"Suddenly, he swerved his bicycle in front of my car."
Devin paddled out on the boat everyday.,He loved spending the days fishing.
He looked at it proudly when he put it on.,Pete was happy to be married.
Finally she got a sewing kit.,Then she went and sewed every day.
Flumpty Bumpty had a dream to become a trombone player.,The problem was that Flumpty had no money.
Liz found a suite for a great price on the strip.,It was a better price for a better room in a better location.
So I stayed up all night and just watched outside.,I saw the bugler and made a sketch of his face.
We had a family party last weekend.,We used a speaker hooked up to a smartphone.
But it was hard to get in.,During rush week she got denied.
His problem was parallel parking.,This time he parked perfectly!
Doctor changed old filling.,Martin felt much better.
He was only one strike away from a perfect game.,He bowled and the ball was perfectly in line for a strike.
The band wanted to record a new album.,They started a Go Fund Me page to take in money.
I got out of bed.,I made my roommate breakfast.
Then they need to put them in the dishwasher.,"Once loaded, they just put soap in the dishwasher and turn it on."
"While he was in France, Jerry painted portraits on the street.",He fell in love with a woman named Jane as he painted her portrait.
The line was incredibly long.,I had to turn around.
Hunter signed up for yoga classes at his gym.,A week after doing yoga every day and Hunter felt five years younger.
I'll never forget discovering an amazing creature in the garden.,"Pulling weeds, I stumbled upon a snail glistening in the leaves."
He decided to join his school's robotics club.,"Since he never shared his hobby with his peers before, he was nervous."
Her car was in the shop.,Tina tried calling several of her friends.
I always hated veggies on burgers.,I always took them off.
He added pepperoni and cheese.,He loved to cook it on the grill.
Tom decided to find out.,He got a Ouija board and tried to use it.
Fran had a lot of good memories.,They would be reunited soon.
My sister couldn't eat the sauce because she doesn't like peppers.,I bought her some sauce that didn't have peppers in it.
Tom was meeting his girlfriend's parents for the first time.,They invited him over for dinner.
My birthday is December 26th.,I no longer celebrate Christmas or my birthday.
"Normally, he's not that bothered about Christmas.","This year, he was excited because he knew what his present was."
He hated how slow they were and sold his tablet.,Now all his friends have tablets and watch Netflix on them.
Her sister recommended a place.,So trish decided to try it.
Commissions sometimes wore on him.,His mind felt almost at rest once he was inspired.
Tom called them out on it.,Soon everyone else in line did too.
Ted felt really awful about himself.,He was terribly thin and puny.
"Because the roads were closed, she couldn't leave the house.",Paul got frostbite from walking home from the hospital.
I haven't had a walk like that ever.,I walked for miles across major city streets in dress shoes.
When I was a little boy my dad had a lot of Christmas spirit.,One year he hired a neighbor to come over dressed as Santaclaus.
I didn't know what was going on at first.,"Then, I realize it was an earthquake."
I have been watching Dexter on Netflix.,It is so good that I tried to explain it to my parents.
This year her class went to a natural history museum.,In one large room they had dinosaur bones on display.
"When I was in the dollar store, I looked around.",I was surprised to see all the socks.
Atlas was an all star athlete.,He won gold medals left and right.
He dropped it by accident.,It shattered on the floor.
"Last night I had one about a monster with long, stringy hair.","He was threatening to hurt me, but I couldn't move."
The store had hundreds to choose from.,Tim spent hours sniffing different aromas.
Suddenly she realized that she had lost her contact.,"Without it, she couldn't see the road ahead of her."
Kevin could never find shoes in his size.,He required shoes that were a size 16.
Frank was bad at identifying shapes.,"He told his friends, but they didn't believe him."
He paid for the tickets and popcorn before finding them seats.,He didn't like the movie at all but he enjoyed his time with Trisha.
Then she found some interesting programs.,It changed her mindset.
Dennis was at work craving a healthy snack.,He reached for the orange he had packed in his bag.
Lucy played with the toy for a long time.,Lucy was sleepy after playing with her toy.
On the first day I had no customers.,I decided to spend ten thousand dollars on advertising.
Nick wanted to become a personal trainer.,He researched how to do that online.
He unloaded it and got to work assembling it.,It took hours to build.
He hoped for a son.,"When he found out it was a girl, he hid his disappointment."
He was nervous about having such a seasonal business.,He planted and nurtured and marketed those trees.
I always wanted to learn karate.,We spent a lot of time looking at different schools.
When he remembered it had been in there for hours.,It smelled gross and damp.
Suzy had a sick grandmother.,She was dying of cancer.
His class was planning a field trip to a planetarium.,The prospect of the trip greatly excited Garrett.
They were so excited to see it taking shape.,They really wished it was done already!
"The other day, however, he saw an Asian girl standing alone outside.",He drove up on the side of her and asked for her company.
Mr Johnston put the fire out with it.,Fortunately the fire didn't destroy anything.
Sophie was hanging out in the grass with her friends.,She was chatting when she felt a weight on her foot.
Tom had never been.,They took him to a paintball tournament that weekend.
He increased the number of hours he worked per week.,He subsequently earned more money after working longer hours.
The clouds had moved out of the area.,The sun was shining brightly.
Bob was given a thousand shares of stocks in his brother's company.,Bob wanted to give them away because he thought they were worthless.
She was bored being at home.,Olivia called her best friend.
Kim's daughter loved legos.,Kim encouraged her creativity.
I had to decide whether political statements were true or false.,I had a great deal of difficulty with my choices.
John's grandmother died.,He was her only grandchild.
Jan was speeding down the expressway.,She was pulled over by a police officer.
He kept messing up.,Eventually he flunked out.
"Confused, he got dressed and ran out.",He realized that he was in an earthquake and took cover.
"He walked the boardwalk, in search of an open restaurant.","In the end, he had to make do with chips and soda from a mini-mart."
My friend dared me to jump off.,I hit the ground and screamed in pain because I broke my foot.
Alicia refused because she wasn't sure it was really clean.,But her other siblings tried it and liked it.
Stacy was feeling dizzy lately.,She went to the lab to get some tests done.
He paid for the wallet with a credit card.,The wallet came a week later.
They had a lot of fun at it.,They then went to the water park.
Micah was a straight A student who often helped others around.,His mother thought he was an angel and often talked about him.
The man behind the counter said they wouldn't serve Jews.,Hillary became very irate and began to yell.
The man looked out at the ocean.,He spotted something on the horizon.
After long hours we extracted the hive and brought it home.,Now the bees are safe and happy in our backyard.
So she went to the dentist to get it done.,But the needle scared her.
The car roared to life .,He would have to break a few laws to catch up with her.
She had been searching but couldn't find the right one.,Until one day her friend's dog had puppies and called her.
Alvin was a carpenter.,He went to the lumber yard to buy a few tools.
My teammate tried to perform a sneak attack.,He went behind me and his defender lost sight of him.
Benson was feeling particularly lazy.,He slept all day because he felt like it.
Cindy's grandfather always made his own root beer.,He mixed it up and dropped a raisin in each bottle.
They found it a few blocks over.,The boy cried in relief.
Brandy was nervous that she would miss the play.,She saw a side street and decided to make a short cut.
I have to cook for everyone.,I'm planning to make a nice meal.
Stephanie loved the bakery.,There were many snacks in the bakery.
I ran into the water and dove in head first.,I saw sharks in the water and swam back to shore.
Abby decided she would purchase tickets to watch a live game.,"In addition, Abby purchased a ticket for her friend to come as well."
But they didn't have patties or hamburger breads.,So Joe drove to the store to get the stuff for hamburgers.
Tim didn't agree and they started fighting over a large pumpkin.,Their parents soon stepped in and decided the big one was theirs.
"Now, Darren can't find any illegal raves anywhere.",He didn't know how people found them nowadays.
I walked into my high school home ec class and sat down.,The teacher said we weren't going to lunch that day.
Wang was new in school.,Everyone was asking about him on the first day.
Sadie was cleaning her house.,She was picking up her children's toys in the living room.
She asked her cousin to take her to the concert.,Her cousin agreed to drive if Naomi bought the tickets.
Will had been thinking about upgrading his computer.,"So when he got his paycheck, he spent all of it on computer parts."
He was also very old.,He went outside one day and didn't come back.
Their real life was boring and strenuous.,Joe became much less interested in cowboys after that.
Pippa had a lot of cuddly toys.,She collected the ones she liked from charity shops.
He didn't have enough to last him.,He asked a neighbor for some of theirs.
I walked out on some rocks to watch the waves.,Two large waves hit the rock I was standing on at the same time.
"One day, my car broke down in the morning.",There was no one else to deliver the mail that day.
She felt some small fish swim by.,"Suddenly, one fish swam into her mouth."
Larry chopped vegetables to put in his sandwich.,"Unfortunately, he cut his finger on the knife."
Tara put aside the money she made babysitting.,She soon had enough to buy the dress.
"At 40, he's now the owner of his own construction business.",He is looking to retire early if he can open up a second business.
One day it got caught in the tree.,Toni got mad.
He tried to watch his movie all day in his living room.,"Sadly, his neighbors kept bothering him with visits."
Tim forgot the list at home.,Tim picked up everything he remembered.
He was going to pass the candy out to trick-or-treaters.,"At work, his co-workers kept staring at the bag."
They both really loved the fair.,They grabbed some cotton candy and headed to the Ferris wheel.
The ranger got a call about a turtle on the beach.,They all raced together to watch the turtle lay eggs on the beach.
Kate had something stuck in her teeth.,She got a piece of floss to help her.
It took his waitress twenty minutes to take his order.,The waitress brought Tom the wrong drink.
They spent many weeks studying the islands.,"They returned after a long while, successful on their mission."
I found my favorite boots in the bottom of the pile of shoes.,"I put them on, and realized they didn't fit my calves anymore."
"Dori's mom was so excited, and she wanted to do something special.",She purchased some yarn and found a cute baby blanket pattern.
He looked for some bread to make a sandwich.,There was no bread and Dean was left hungry.
But when she got it done it was painful.,Susie could not stand it.
Tina was waiting in line at the ice cream shop.,The woman in front of her was having a lot of samples.
It was a book store.,It wasn't doing very good for a while.
So he bought a racing wheel for his computer.,And he practiced driving using race simulator games.
He took a good job.,Danny moved away from his parents.
My driver license picture didn't look too bad.,However my friend's driver license picture looked horrible.
She met a child that she fell in love with.,Her and her husband ended up adopting the child.
Mike's new neighbor was having a garage sale.,Mike found a lot of good things there at a very good price.
The new iPhone was going on sale.,Kelly really wanted it.
He gave one of the beers to his neighbor.,The man payed his neighbor back.
Daniel loved the outdoors.,He was on a hike up to Yosemite national park.
Her husband's television broke down.,He is a philosophy teacher and makes little money.
The neighbor was very angry and yelled at Lolly.,Lolly told the neighbor why she was doing it and he forgave her.
I saw them in the same place on the next aisle.,Then I realized it was a cardboard cutout of a person.
I felt a huge amount of dread as I biked home.,"When I got home, I saw that it was a smoldering pile of ash."
Finally I was able to fix my issue after much talking.,"I no longer overthink things anymore, usually!"
He spent years perfecting his style.,He was invited to read at a rally attended by his favorite author.
Matthew was worried the trip would be cancelled.,He woke up early Saturday to check to weather.
He is trying to make a score.,He gets hit hard from behind.
He had never had a proper birthday party.,His wife and kids knew this.
She became very interested in meal preparation for the first time.,Karen enjoys impressing guests with her meatless creations.
Soon people began calling for her to give up and come out.,When she popped out of the drawer everyone was surprised.
The site instructed her to change it.,She entered a new one.
Josh was a new truck driver.,Josh had to drop off a load to Michigan.
A mom and her daughter Lucy played with Play-Doh.,They build a snowman.
He strip searched his room to no avail.,He checked the rest of his apartment to no avail.
His wife also wanted a dog.,They researched dogs together and decided on a German Shepard.
Her cousin was tall and pretty.,Lynn wanted to be just like her cousin.
Jennifer wanted to skip her morning class a few days ago.,"I told her it was a bad idea to skip, but she did anyway."
Timmy bought an aquarium kit and decor to put together his own tank.,The project was harder than Timmy expected.
Alyssa had a crush on Sam.,She was not sure if he was interested in her.
Before long the vet suggested letting the cat go to sleep.,Jennifer didn't want to at first but soon she agreed.
Hart tried the trainer's advice.,His golf swing improved with that advice.
They ran to get their parents.,They were in so much trouble!
Trevor has wanted to learn how to surf for years.,He planned a trip to the beach to learn.
Sam had to walk it back home.,He eventually got it replaced.
There was a new guy working on the register.,When he handed Kate her change he smiled at her.
She called the police and he was arrested.,The fight overshadowed the wedding.
"Towels, surfboards, and a cooler were some of the items hauled out.",Neil and his friends found a nice spot in the sand and settled in.
He ordered a steak.,Blake wanted his steak medium rare.
Susie was excited about it.,She took all her friends to join her.
I ran out of room to put all the cans of corn.,I had to eat a lot of corn that night just to make room.
Tom wanted to own a dog.,Tom researched every type of dog.
The weather outside was cold and miserable.,The mom made a huge pot of soup for her family.
Nancy always wanted to be a movie star.,She worked hard to improve her acting skills.
We accuse each other of cheating.,"However, we still play the game anyways."
It was a fundraiser for his soccer team.,He sold it all over his neighborhood.
Kyle didn't get along with his brother.,He put gum in his hair one day.
She read it with tears in her eyes.,Joseph had found a way back to her through time using words.
Flies were starting to come in.,She was getting frustrated.
Trey was so excited for the Super Bowl he couldn't sleep.,He was thinking about hanging out and snacking with his friends.
We are having a yard sale on Saturday.,There is a lot of stuff to get rid of.
The girl cooked a meal.,The family liked it.
He was supposed to bring me the homework I missed while I was sick.,He never came to my house.
They all started playing and Angie won every round!,They discovered that she had hustled them.
"When she died, she was a hundred years old.",No one understood how she had survived with no vegetables in her diet.
Everyone in the room smelled something.,They realized it was his feet.
Norma and Robert were trying to decide on lunch.,This was often a bit of a chore.
He thought of buying her a dress but he assumed it wasn't enough.,He thought of buying her a laptop but she wasn't tech savvy.
My wife was looking at a vintage doll on eBay.,It started at $10.
Webb started screaming and then freaked out.,"After a couple of minutes, Webb fought his fears."
Ken ran them over to him.,Along the way Ken fell over.
Ben is on his way to get ice cream.,He gets his ice cream.
Mary did not listen though.,Mary went on a long walk one hot day.
So when she saw a baby bear stuck in a ditch.,She tried to help it and didn't have time to wait for anyone.
But she fell asleep for half an hour.,When she woke up she frantically washed the bleach out of her hair.
They had been on the lake all day.,"So far, they had not caught any fish."
After the tryouts John had to wait two days to see if he made it.,He checked and saw he made it.
I was the pitcher.,I had two strikes.
Faye loved fall.,She bought a bunch of pumpkins to display.
One day Jeff pretended to be George at school.,"Unfortunately, George had a test that Jeff had not studied for."
Then she got a parking ticket waiting at the DMV.,On her way home she got into an Accident.
A friend of mine has a pilot license.,He asked me if I would like to ride in a small plane.
Denise did her best to ignore the heckling from the girls.,"However, despite trying, Denise could not ignore them anymore."
The girl Joe had a crush on had no idea.,The girl who Joe had a crush on dated a series of abusive losers.
"I wasn't sure if I could go or not, so I was nervous.",I took some pain relievers for my leg and they helped!
I wanted a nice sun tan so I could look more beautiful.,I put my bikini on and went to the beach.
Maggie came back from work.,She was tired and did not want to see anybody.
"At the movie, Tom told Sara much about himself.",Sara told Tom she felt a little weird with his forwardness.
Matt and his father were driving to the campout.,Matt was anxious to get there as soon as possible.
Tom noticed the gas needle was approaching empty.,"Tom looked diligently for a sign for gas, seeing none."
He hit the ball.,It soared into the air.
"As a female, going places alone can sometimes be problematic.","While there, a man would not stop staring at me and talking to me."
I woke up and went outside.,I saw a small rock on my doorstep.
Alana loved the smell of fresh baked bread.,She remembered smelling it all the time when she was little.
Tom was tired from work.,He figured he would take a short afternoon nap.
The kids made some Flubber.,It was made out of glue and Borax.
Ian ate some tacos before going back to work.,He noticed a rumbling in his stomach.
"He was brown and fluffy, and wore a purple sleeping cap.",I took him home and placed him on my bed.
Tim decided to go to the outdoor volleyball courts.,Tim asked to play.
"He found it, and started walking back to his room.","He tripped on a lego though, and broke the xbox into pieces."
She gave it to her friend Sally for her birthday.,Sally was overjoyed.
He was so scared that he tried to run all the way up.,He tripped halfway through and fell on his face.
She needed to know how to do it.,She asked her friend to help her.
Tom wanted to secure his future.,He decided to learn how to program.
She was the star midfielder.,She worked hard at practice every day.
He went to the food court after and decided to put on the coat.,A woman carrying an ice cream cone accidentally walked into him.
The kids in the neighborhood were too excited to sleep.,They expected Santa to come to their houses that night!
"They were so relaxed, they missed their flight!",The travelers had to sit in the airport all day!
Janes cat was very clever.,She taught it how to use the human toilet.
He decided to buy one from Ebay for cheap.,When he got the package from Ebay it only had a toy phone in it.
He told his dog to get away from him.,"Instead, the dog licked him and got him wet and messy."
Amy was leaving the mall when she saw something.,It was a wallet!
Her son dropped the cake well taking it to her car.,So Sarah had to go to bakery and buy a cake.
Ken was nervous about buying a used car.,He had a friend go with him.
"He looked at his phone, and saw it was not working either.","John checked, and the firewall and voice gateway were both dead."
He had had a seizure.,His mother was terrified.
The lifeguard kicked them out of the pool.,The parents demanded a refund.
Kate started to feel bad.,Kate was sick for the rest of the day.
The cat got startled.,The cat jumped out of Ted's arms to the floor.
The next family let the dog outside.,The dog did not howl at all.
They emotionally berated her constantly.,Eventually she gave up trying to make them happy.
Tim slipped and almost fell overboard.,It made him decide to drink less.
She saw a girl hitchhiking on the side of the road.,Ida knew it was dangerous to stop for strangers.
A looked out the window to check on her.,She was on her knees with her head lowered.
"She looked around for a shelter, but couldn't see one.",She started running in a random direction.
She is afraid she will forget what to do.,Tanja isn't sure she wants to do the recital.
He thought that he was improving himself.,"Although he was physically improving, his social life took a downturn."
I tried the watermelon.,"I was hooked, and used them from then on."
She heard a loud bang.,A bird had ran into the clean window.
One day everyone got a notice.,They were being laid off.
Her friend brought brownies to work.,Monica ate one of her brownies.
He put them into a bucket.,He read about how to make wine.
There was a problem with Sarah's left eye.,It started to swell after she rubbed it with dirty hands.
Steve decided to ride his bike in the house.,While his parents were gone he got the idea.
People wanted to have fake fights.,Tim went out to buy armor.
Ashley and Gary were eating lunch at school one day.,Gary accidentally dropped his food tray.
Larry is playing in a basketball game.,His team is losing by 3 points.
He was sent off to war.,Tim got injured his first tour.
We lived in a condo in Brighton for years.,In 1993 I saw a neighbor in the ambulance.
But problem was she couldn't do the poses.,So she had to do another sport instead.
I was tasked with helping him catch up with our classes work.,We have been friends since our first study session.
Louis noticed a homeless person in his building lobby.,"He tried to awaken the man, but had no luck."
Ann loved candy so much and was addicted.,Everyday she would go and buy some from the store.
Mark is served a cold lunch and cannot properly get his points across.,Mark had an awful lunch with his boss.
They had left a key in the lock inside.,They went to get their young nephew Ian.
Garrett didn't know but his friend had just won a new computer.,His friend said no to borrowing but invited him over to his house.
"Then, he's sticky and purple.",That's why he took a banana from the fruit bowl.
I put my amazon books into the bin.,Later I found the bin was locked.
"One day, he was able to visit a farm.",The farmer was nice enough to let him ride the tractor.
Maya was surprised by how many of the cuisines she enjoyed!,It turned out she was not as picky as she had thought!
Tom did not want to pay any more money to keep his bike running.,Tom's bike output a lot of smoke in the exhaust.
They decided to race for fun.,But Rick lost control and got into a car accident.
She worked for a property management company.,One of their clients liked my wife.
I bought some pizza dough and various ingredients.,When I got home I divided the dough into individual portions.
They didn't care and continued being loud.,Tom went up to ask them to stop.
She boiled the noodles in a big pot of water.,When she went to drain the water all of the noodles fell in the drain.
Sam has a biology test in the morning.,He was not ready for it all.
She was caught off guard by the prices of the tickets.,She stated she did not want to see the movie at such a price.
"However, they were too expensive.",She decided to wait until they went on sale.
Todd decided to spend the day at the beach.,The weather was supposed to be nice.
I had bought a new cello and wanted to be good at it.,I decided to spend an hour a day practicing.
Barry hated it when his little brother Ted followed him around.,Barry didn't like that Ted was always asking him questions.
Jenny was looking for her binoculars when she found the necklace.,She had wanted to see which boy was talking to the new girl next door.
Tom woke up in a pool of sweat.,He has not been able to sleep well since the test.
This makes me so sad.,"I know people call this progress, but I don't like it!"
He took a long one almost every year.,His friends would pick a random place on the map and go.
I kept them for an hour.,Then I let them go.
I bought a bottle of wine yesterday.,I was curious to try some.
One of those games was Notre Dame versus Texas.,Texas won the game in double overtime.
Alicia recently wore a hair clip she got from her mother.,"As Alicia was taking down her hair, she realized the clip was missing."
Maria was sleeping when the alarm went on.,"She rushed to the sound, a pan in her hand."
She suffered a bad concussion.,She couldn't even remember the wreck.
"She pulled hard on the freezer door, but it was frozen shut.",Suddenly it opened with a loud BANG and she fell to the floor in pain.
"However, it was a cloudy day.",I waited for a long time.
He decided to get a new one.,He shopped around for awhile and finally found one he liked.
He always thought he looked bad in them.,One day a friend convinced him to take some.
Andy had a huge collection of toys.,He arranged them from most expensive to cheapest.
Keith loaded his kids up in the van.,He was taking them to the rodeo!
When Marty came home that day he found out his bird was gone.,He became severely depressed but eventually moved on.
"One morning, she saw her paycheck had made it into the bank.",It was even more money that she had expected.
"At home, he crumpled up newspaper in the fireplace.",He lay the kindling on the newspaper and lit the fire.
He wanted to learn the curve ball but couldn't get it down.,Fortunately his dad knew baseball very well.
The playground was boring.,The park decided to add a fun slide.
They all worked together to plan a healthy meal.,The dietitian sent them home with a bunch of healthy recipes.
He worked hard and practiced every day.,"Then one day, he played the song perfectly."
Mike and his girlfriend had been having problems.,They talked things out and stayed together.
It was her fourth.,Her parents were getting her a surprise.
"The youngest male, Steve, decided to join the military as well.",Steve wanted to go into the Air Force.
He wants to get it cut.,He heads down to the barber.
Lisa loved sports.,She cheered for her home team no matter what game they were playing.
I found a site I liked.,I looked through the site.
Albert smelled the damp air from the recent rains.,He gathered all his supplies to go out and pick mushrooms.
She will know the pain she has caused me.,I will destroy her with no remorse and never think of her again.
She looked in it for identification and found an ID.,She called the person and told them about the wallet.
He was particularly interested in the prefrontal cortex.,"In his work, he hopes to improve understanding on our emotions."
She started to lose her balance.,Molly was able to grab onto the shelf to stop from falling.
One went toward Tom's section.,He fought everyone around for it.
"On Facebook, he started talking to an old classmate.",They met for coffee and she consoled him.
I was walking my dog in public.,A small cat walked across the street.
Jasmine was freezing.,She turned on the heated seats in her car.
Everytime Heather slept she would wake up feeling tired.,Her mattress was old and lumpy.
Louis was constantly stressed out.,So he listened to loud music all day.
Alex likes to drive fast.,His mother warned him to drive more slowly.
Sam bought a new candle.,He lit it in the middle of the day.
He decides to clean his feet.,Ned gives both of his feet a thorough washing.
Michael and Melinda were swimming at the lake.,Melinda felt something in the sand under her feet.
I ask my friend to teach me how to play it but i still can't.,I tried to ask my brother to teach but still i can't.
They were trying to scare each other.,There was a sudden knock at the door.
"""I don't know how you got here"", he said.","""A small animal has chewed through a lot of wires in the engine."""
Jessie ran up and down the street trying to catch it.,She eventually caught it and has been extra careful ever since!
She checked all over the house and found the sponge under the bed.,Judy had no idea how the sponge got there but she was happy.
"Finally, I can ditch my old glasses.",When I put the glasses on something was wrong.
He was on a friend's computer.,Tim kept getting his password wrong.
He came for a rehearsal.,Orchestra started to play a different piano concerto.
He wanted to know if his peer had heard about Amazon's improvements.,His peer said he could count them on his hands.
David needed a sofa for his apartment.,And he saw one at a yard sale.
Alberto Spangletini was a drywall hanger for a construction company.,He'd always felt self-conscious about doing manual labor.
Chris did not want to hurt feelings.,He ate the eggs as quickly as he could.
It was starting to feel like home.,She couldn't wait to invite all her friends and family over to see it.
The journey finally ended as Jim and his mother pulled up to a store.,A trip that's 10 minutes can seem like 100 years to a 5 year old.
He found a food container from the previous week.,George decided he needed to clean his car.
Linda loved to write her in diary.,She pledged herself that she would write in her diary everyday.
"Tom didn't want to miss out on the show, though.",He held it in until the band was done.
She realized she was in trouble and scheduled a meeting with her boss.,She requested a dedicated assistant to help with the workload.
He was small and brown.,I immediately asked her to return him.
He bought a small air conditioner unit.,It helped a little for a few days.
After many months he had enough money to buy it.,"After Peterson bought the tablet, he played with his friends."
She decided to wear high heels.,She was dancing to silly music.
Jessie woke up late one morning.,She had to hurry to get her son dressed.
He looked back at the lake and gasped.,The boat was floating away from shore.
He saw a figure coming closer.,He was terrified.
His girlfriend felt sympathetic.,She gave him a back rub to make him feel better.
He decided to remove it.,"After he took it off, sitting was much more comfortable for him."
